/home/flo/System_Bioinformatics/SequenceWS19-20_Assignments/Project/NC_004431/NC_004431.fasta /home/flo/System_Bioinformatics/SequenceWS19-20_Assignments/Project/NC_004431/../r_assembly.fna
NUCMER
show-coords
[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[TAGS]
1	309	791185	791493	309	309	100.00	NC_004431.1	CP041955.1
1015	6270	791487	796743	5256	5257	97.24	NC_004431.1	CP041955.1
6281	10536	796846	801101	4256	4256	98.43	NC_004431.1	CP041955.1
10537	10682	3452903	3452758	146	146	93.84	NC_004431.1	CP041955.1
10537	10672	2726783	2726648	136	136	94.12	NC_004431.1	CP041955.1
10537	10686	4627700	4627551	150	150	92.05	NC_004431.1	CP041955.1
10539	10686	4250470	4250322	148	149	89.93	NC_004431.1	CP041955.1
10714	16174	801109	806573	5461	5465	97.90	NC_004431.1	CP041955.1
16163	16606	807911	808352	444	442	93.48	NC_004431.1	CP041955.1
20612	22971	808431	810792	2360	2362	89.51	NC_004431.1	CP041955.1
23024	30444	815249	822669	7421	7421	96.91	NC_004431.1	CP041955.1
30872	52942	822715	844800	22071	22086	97.31	NC_004431.1	CP041955.1
53591	61369	844888	852666	7779	7779	98.11	NC_004431.1	CP041955.1
61489	67630	854192	860333	6142	6142	96.96	NC_004431.1	CP041955.1
68341	73750	860332	865741	5410	5410	96.77	NC_004431.1	CP041955.1
75553	81933	865717	872097	6381	6381	95.66	NC_004431.1	CP041955.1
82685	115320	873359	906011	32636	32653	97.69	NC_004431.1	CP041955.1
116751	126779	906128	916157	10029	10030	97.72	NC_004431.1	CP041955.1
132297	138083	916467	922252	5787	5786	98.60	NC_004431.1	CP041955.1
138114	139609	922400	923895	1496	1496	98.66	NC_004431.1	CP041955.1
139781	140153	923895	924268	373	374	84.76	NC_004431.1	CP041955.1
140161	149003	924372	933191	8843	8820	96.24	NC_004431.1	CP041955.1
149003	158114	933315	942378	9112	9064	96.66	NC_004431.1	CP041955.1
158261	160489	942265	944486	2229	2222	90.70	NC_004431.1	CP041955.1
161436	162258	945406	946228	823	823	78.05	NC_004431.1	CP041955.1
162975	167462	946945	951424	4488	4480	81.29	NC_004431.1	CP041955.1
167860	175081	951828	959049	7222	7222	96.70	NC_004431.1	CP041955.1
175093	178976	959162	963046	3884	3885	95.57	NC_004431.1	CP041955.1
179311	183908	963366	967963	4598	4598	94.91	NC_004431.1	CP041955.1
183940	192689	968118	976867	8750	8750	98.38	NC_004431.1	CP041955.1
193399	195259	976866	978762	1861	1897	95.89	NC_004431.1	CP041955.1
195386	200903	979605	985122	5518	5518	98.19	NC_004431.1	CP041955.1
200914	202805	985256	987147	1892	1892	99.47	NC_004431.1	CP041955.1
202809	226035	987293	1010518	23227	23226	97.79	NC_004431.1	CP041955.1
227595	236780	1010692	1019881	9186	9190	97.82	NC_004431.1	CP041955.1
235040	236792	302659	304412	1753	1754	99.37	NC_004431.1	CP041955.1
235040	236792	3638669	3636917	1753	1753	98.69	NC_004431.1	CP041955.1
234950	236780	4352624	4350793	1831	1832	98.47	NC_004431.1	CP041955.1
237038	240282	3636663	3633428	3245	3236	98.55	NC_004431.1	CP041955.1
237038	240282	345832	349084	3245	3253	98.59	NC_004431.1	CP041955.1
238830	240281	157728	159181	1452	1454	98.21	NC_004431.1	CP041955.1
