/home/flo/System_Bioinformatics/SequenceWS19-20_Assignments/Project/NC_002695/NC_002695.fasta /home/flo/System_Bioinformatics/SequenceWS19-20_Assignments/Project/NC_002695/../r_assembly.fna
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[TAGS]
1	15407	791185	806573	15407	15389	98.72	NC_002695.2	CP041955.1
15396	20630	807911	813143	5235	5233	98.07	NC_002695.2	CP041955.1
23073	54726	813141	844800	31654	31660	97.42	NC_002695.2	CP041955.1
55375	80465	844888	870150	25091	25263	97.61	NC_002695.2	CP041955.1
81476	83421	870152	872097	1946	1946	95.38	NC_002695.2	CP041955.1
83462	116038	873359	905949	32577	32591	98.39	NC_002695.2	CP041955.1
116040	132225	906067	922252	16186	16186	98.49	NC_002695.2	CP041955.1
132256	152234	922400	942378	19979	19979	98.32	NC_002695.2	CP041955.1
152530	154206	942455	944131	1677	1677	93.68	NC_002695.2	CP041955.1
161629	177768	951823	967962	16140	16140	97.73	NC_002695.2	CP041955.1
177801	188445	968118	978762	10645	10645	98.89	NC_002695.2	CP041955.1
188575	196117	979605	987147	7543	7543	98.77	NC_002695.2	CP041955.1
196121	235296	987293	1026485	39176	39193	98.81	NC_002695.2	CP041955.1
226864	232215	4352628	4347281	5352	5348	98.75	NC_002695.2	CP041955.1
226957	228693	3638669	3636933	1737	1737	99.14	NC_002695.2	CP041955.1
228969	231469	304666	307169	2501	2504	98.76	NC_002695.2	CP041955.1
226957	230655	154028	157727	3699	3700	99.22	NC_002695.2	CP041955.1
232258	232336	1031450	1031528	79	79	100.00	NC_002695.2	CP041955.1
235493	241541	1026460	1032508	6049	6049	98.56	NC_002695.2	CP041955.1
244079	268574	1034772	1059244	24496	24473	97.35	NC_002695.2	CP041955.1
264851	266462	2454569	2456180	1612	1612	93.68	NC_002695.2	CP041955.1
268707	270780	1059377	1061450	2074	2074	91.74	NC_002695.2	CP041955.1
268857	269592	2458518	2459253	736	736	86.04	NC_002695.2	CP041955.1
268857	269592	1362329	1363064	736	736	83.74	NC_002695.2	CP041955.1
272509	272889	1568497	1568876	381	380	91.60	NC_002695.2	CP041955.1
273885	274589	1060305	1061009	705	705	93.90	NC_002695.2	CP041955.1
273870	275102	1363107	1364339	1233	1233	87.93	NC_002695.2	CP041955.1
273870	277289	2459296	2462712	3420	3417	95.53	NC_002695.2	CP041955.1
274709	275037	1061114	1061442	329	329	85.41	NC_002695.2	CP041955.1
277463	282231	1063921	1068690	4769	4770	97.30	NC_002695.2	CP041955.1
282197	300991	1068757	1087631	18795	18875	97.01	NC_002695.2	CP041955.1
291226	291353	1635735	1635608	128	128	96.88	NC_002695.2	CP041955.1
