Tool,Seq1,Seq2,Inputfile_ID,start_pos1,start_pos2,Insertions,Deletions,Mismatches,Is_Inverse,Seq2_Is_Translocated,Total_Length
mauve,NC_002695_ref1,assembly_revCompl_without_plasmids,0,1,791185,9583,14127,8195,False,False,310572
mauve,NC_002695_ref1,assembly_revCompl_without_plasmids,0,302245,1125889,49707,124846,10349,False,True,638567
mauve,NC_002695_ref1,assembly_revCompl_without_plasmids,0,900061,1099939,1060,1187,733,False,False,22205
mauve,NC_002695_ref1,assembly_revCompl_without_plasmids,0,929699,1639618,158608,628790,20806,False,False,1956282
mauve,NC_002695_ref1,assembly_revCompl_without_plasmids,0,2727382,2981746,27893,38335,1979,False,False,100481
mauve,NC_002695_ref1,assembly_revCompl_without_plasmids,0,2809091,3044770,230618,280201,36325,False,False,2091615
mauve,NC_002695_ref1,assembly_revCompl_without_plasmids,0,4670088,1,138232,175539,13159,False,False,966723
mauve_Total,NC_002695_ref1,assembly_revCompl_without_plasmids,0,1,791185,615701,1263025,91546,0,1,6086445
,,,,,,,,
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,1,791185,11758,20046,7699,False,True,260392
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,296567,675341,9984,2847,226,False,False,22878
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,348571,1063893,2396,8513,721,False,False,31531
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,377955,1138107,126105,120996,19928,False,False,934339
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,1240874,2018818,144362,213447,21755,False,False,1161749
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,2258534,3039344,0,0,73,False,True,4290
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,2317210,3027749,3174,17203,163,False,True,28794
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,2360040,2010900,1034,2163,149,False,False,7421
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,2367307,2978542,14109,19964,1491,False,False,55763
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,2424005,3047663,60421,39295,20211,False,True,655110
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,3020121,1087866,30679,35806,965,False,False,75804
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,3067461,3674129,52480,52661,7759,False,True,391312
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,3454681,1971911,674,5920,47,False,False,16542
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,3510903,4012789,58420,75950,10955,False,False,583022
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,4035507,4521961,0,0,59,False,True,285
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,4035794,4520150,0,0,68,False,False,1808
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,4037892,4522248,35717,36969,8246,False,True,275403
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,4303578,1951454,0,5,78,False,False,1907
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,4329564,4796044,13907,9670,1652,False,False,69810
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,4385467,1,71538,94054,11854,False,False,605407
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,4961150,1960063,1,7,216,False,True,2916
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,4971476,511358,15469,19491,3926,False,False,159422
mauve,NC_004431_ref2,assembly_revCompl_without_plasmids,1,5130698,712153,7723,29422,2415,False,False,108454
mauve_Total,NC_004431_ref2,assembly_revCompl_without_plasmids,1,1,791185,659951,804429,120656,0,8,5454359
,,,,,,,,
mumer,NC_002695.2,CP041955.1,2,15396,807911,0,2,99,False,False,5235
mumer,NC_002695.2,CP041955.1,2,23073,813141,35,29,755,False,False,31689
mumer,NC_002695.2,CP041955.1,2,55375,844888,174,2,428,False,False,25265
mumer,NC_002695.2,CP041955.1,2,81476,870152,4,4,82,False,False,1950
mumer,NC_002695.2,CP041955.1,2,83462,873359,14,0,510,False,False,32591
mumer,NC_002695.2,CP041955.1,2,116040,906067,0,0,244,False,False,16186
mumer,NC_002695.2,CP041955.1,2,132256,922400,0,0,335,False,False,19979
mumer,NC_002695.2,CP041955.1,2,152530,942455,1,1,104,False,False,1678
mumer,NC_002695.2,CP041955.1,2,161629,951823,0,0,366,False,False,16140
mumer,NC_002695.2,CP041955.1,2,177801,968118,0,0,118,False,False,10645
